lab       NUDT16L1  MDM1      TRIM27    ENPP4     AKR1B10   SDPR      AKR1C3    C17orf104 ICAM1     MBP       PALM      CRYAB     KRT14     NES       ARHGEF6   C1orf144  GSTM3     RECQL4    EGFL7     ZNF185    CTSZ      CLEC3B    APBB1IP
  1236.750 10627.800 27737.900   602.705  2489.610   517.866  2784.130  1083.860  6682.600 14334.200  1213.040  3624.180  5144.560   682.815  5279.580   223.994  3944.250 16410.500  5956.450  6509.110   528.253  3641.910   254.257 20293.200
   177.230  5928.420 20586.200   413.888  1072.220   349.276  1238.410   682.397  4704.690  8216.050   836.191  1926.100  3439.210   436.091  2650.510   136.100  2828.190 10530.300  3191.210  3661.090   348.110  1327.820   221.781 14259.700
AS3MT     KCTD16    HLA-E     PRR16     MAML3     FAM83H    GCA       NAP1L5    TRIP6     C9orf142  SF3B4     SNX12     GCLC      PAG1      UCHL1     PDLIM2    ELOF1     MT1H      SLC7A11   UBE2V2    GLO1      RBP1      ARHGAP24  COMMD3
  4756.760   606.619   502.852  1737.130   178.652   212.718  2330.390   957.739 17117.500  6155.430  5638.100  8442.080  3917.000  1045.580 38942.600  3994.590  1182.730   336.921   864.668  6562.970 12581.800  3269.060  3195.090  4436.830
  4007.890   500.654   404.050  1386.960   143.512   168.292  1799.250   804.409 13471.900  4977.310  3484.130  6979.270  3194.230   880.332 26440.000  3189.740   943.929   273.842   679.785  5051.380 10086.400  2543.160  2320.620  3829.270
  2896.080   341.294   269.466   923.148    95.744   105.318  1232.610   556.906  9322.850  3534.160  2372.350  5309.960  2232.450   594.067 19314.100  2191.120   633.153   184.604   458.071  4226.970  7314.840  1725.970  1726.450  3108.760
  1520.150   216.786   187.782   655.927    67.114    87.832   864.016   337.885  6212.610  2120.110  2262.510  2538.770  1387.430   387.470 14012.600  1484.870   455.957   128.932   335.645  1751.230  4358.140  1274.570  1131.290  1176.170
HDGF      RHOB      C1orf31   ADD2      CTU1      SHROOM2   TSPAN15   SRGN      HIST1H1C  LRRFIP1   CBR1      CARHSP1   FOSL1     UBAP2L    ANKRD44   C17orf90  BAG4      NDRG2     ZFP36L1   LHPP      PTRHD1    MEX3D     UBQLN1    CDK1
 28659.400  3274.840  4540.590  2948.170   267.048  5978.410   157.280  1043.320   490.030 30428.000 11720.000  6217.300   251.321   343.429  2791.170   120.528  4975.660   157.404  4092.620   737.103  3611.480   195.168  5687.720   495.736
 19911.600  2660.930  3642.280  2401.620   198.969  4786.700   121.216   830.090   388.868 23887.200  9357.880  5130.310   207.976   275.563  2235.700    94.915  4072.750   123.439  3481.110   599.203  2869.510   144.764  4452.220   408.446
 15556.500  1935.560  2532.170  1643.780   138.965  3347.490    83.776   572.861   277.598 17369.500  6786.860  4113.110   153.178   183.857  1554.170    66.498  3254.830    73.607  2678.270   415.505  2010.000   116.897  3118.060   273.763
  9643.180  1144.460  1718.430  1137.730   103.434  2254.400    61.242   402.971   181.427 11032.200  4241.530  1833.590    87.570   140.658  1084.000    46.714  1502.030    74.053  1316.610   289.950  1412.970    62.725  2243.980   204.707
TPM4      PRKCD     MTMR3     RAD23A    SGTB      NSUN5     CEP55     ACBD7     U2AF1     BOLA1     STK16     HN1L      TXN2      KBTBD6    RBMS3     NAT9      FGF1      DSTN      PODXL     GLUL      SP1       MYL6B     NCS1      CORO7
  8042.840  4876.880   370.828 20556.500  2618.340  1097.110  5904.970  1256.680  3100.770  2183.370    99.877 12607.000  5120.310   107.048  4892.140   278.258  1964.080 21618.700  1940.480  2547.830  2664.290 19156.500 11820.500  2150.580
  4924.590  4067.180   284.133 15614.600  2184.530   780.671  4866.930  1025.990  2538.570  1685.460    45.432  9999.230  4205.760    84.515  4167.030   206.245  1771.240 16028.800  1555.100  2091.060  2407.800 15270.000  9132.060  1541.260
  3874.240  2794.410   205.589 12294.100  1592.890   602.145  3659.760   754.494  1787.470  1230.530    52.340  7140.050  3053.910    55.134  3112.140   147.690  1233.350 11978.600  1152.920  1419.850  1950.010 11224.000  7244.030  1191.400
  2991.250  1952.610   142.491  6946.570   962.933   398.308  2079.370   462.061  1219.100   835.162    25.377  4978.280  1956.000    47.970  1764.510   113.406   781.696  8330.980   734.599  1085.450   792.616  7398.360  4090.580   806.000
NUDT3     HINT1     PPAP2B    CLIC4     TUBAL3    UBE2L3    ATP5H     EIF6      SHANK2    PLIN2     C1orf198  MYL4      C1QBP     PEBP1     TAX1BP3   BTBD2     MEGF6     CITED2    EEF1B2    TMEM14C   ESD       ALDH2     ARPC4     MTSS1L
  1396.340 23039.700   627.000 32145.500  7803.650 12988.300 35329.700  9209.450  1357.090  2039.890  6308.230   267.067 20015.300 26867.400  4070.810  1427.750  5637.810  1026.630 44071.600   906.963 17629.300  9209.110  6549.090   248.685
  1151.630 15623.800   543.278 23255.900  5606.900  9811.050 24804.000  7929.910  1098.750  1669.010  5338.460   205.317 12888.300 18297.800  2760.180  1191.650  4650.630   794.669 27648.600   757.448 15125.800  7567.800  4984.900   208.898
   812.394 12070.100   376.474 16686.200  4565.440  7289.010 19729.100  5699.510   807.410  1140.620  3748.270   149.148  9680.350 13729.200  2063.150   751.696  3319.800   582.928 21966.700   642.339 10961.400  5380.840  3783.200   147.366
   566.470  8862.430   257.251 13324.500  2707.750  5092.810 12978.400  3623.780   529.908   879.820  2597.650   108.384  8292.940 11005.900  1679.890   684.234  2321.300   419.186 17503.000   273.937  7075.770  3859.660  2575.720   105.118
CSTB      RCAN3     CENPN     SNX3      PDE1C     PPIA      BCAM      MT-ATP6   SRI       SNAP29    EIF1      GSR       EEF1D     POGK      TGFBRAP1  BANF1     RABIF     EPHX1     NME2P1    TKT       CGNL1     PRDX5     ZFAND3    PSAT1
  8700.240   180.468  1290.590 13734.700  4283.850 68638.000  3758.290  1946.540 12414.500 12079.300   152.307 10314.400 29692.800   308.354  4517.630  9179.730  2167.880 11706.400 16041.700 44180.400   402.409 40514.000   366.641 19578.400
  6114.190   149.159   681.968 11628.600  3557.760 42147.100  3089.230  1718.880 10140.700 10097.500   119.736  9072.420 18082.100   246.197  4159.250  7489.600  1731.520  9518.490  9706.850 32216.900   323.809 26525.700   287.804 17146.700
  4855.530   103.750   642.835  8912.960  2492.890 32928.700  2163.730  1558.000  7390.390  8311.630    80.499  6474.420 14602.700   174.559  3357.800  6023.060  1264.810  7024.870  8597.040 24589.900   226.723 20966.400   210.233 13376.500
  3346.720    78.960   452.147  5178.450  1864.910 28691.400  1650.880   483.982  5176.880  4051.800    71.189  4338.840 12062.500   134.991  1491.740  3298.650   915.977  4855.730  5816.200 18219.200   180.298 16648.100   157.278  7273.170
CRTC3     POLR3H    SSBP1     TBCA      VHL       CBX1      S100A6    UBE2D1    FAM169A   TACC2     FAM107B   GRINL1A   FAM122A   SHKBP1    EPG5      KCTD3     UBE2L6    ENAH      HPCAL1    C19orf55  AP1M2     PDLIM4    HMGN5     DDAH2
   817.563  1889.190 13840.200 11885.900  2442.900 14900.800 15927.200  2098.850   960.712  6337.560  7665.210   455.439  1067.150  1806.980  4446.600  1041.660  4022.080 14472.600 26432.700  1152.100   597.386 20523.700  4279.500  7474.980
   647.185  1586.450  9021.430  8999.880  2114.610 10616.700 10445.100  1830.680   765.783  5281.200  6459.660   373.336   828.880  1511.730  3790.420   888.138  3213.280 12680.200 19326.600   945.936   513.383 16887.800  3966.710  6382.560
   480.132  1100.650  7177.220  6738.480  1476.120  8093.500  8312.960  1756.760   533.136  3772.640  4604.750   268.132   638.936  1094.110  3004.910   618.009  2303.840  9365.650 15182.500   681.340   346.924 12205.800  2978.160  5137.310
   343.884   855.694  5696.660  5035.160  1095.370  6304.940  6582.720   463.108   442.427  2798.800  3414.960   202.786   439.100   793.042  1680.270   480.369  1814.390  6095.590 10947.100   518.615   288.394  9196.520  1739.720  2792.020
PSD3      ZFYVE1    SEC13     PLEKHO2   UBE2C     RBMS1     YWHAZ     KIAA1191  TPM1      LYSMD2    HNRNPA2B1 DNAAF2    OMA1      CADM4     CALML5    PSMD9     BAG1      MYL12B    TRIM16    MSRB2     DOK1      HSPB1     PAWR      ALDH1B1
   457.430  1003.520  8929.660  5198.100  3634.590  6166.290 39069.100  4880.630 39082.000  2372.500 38254.200  2124.100  1285.550  1933.230   200.001  8941.060  2231.640 46120.100  4221.080  3019.750  5026.350 50564.000 13726.600 13655.300
   375.945   609.906  7106.980  4233.870  3192.380  5315.900 25437.200  4035.200 27157.400  1939.690 23965.700  1855.080   989.938  1537.320   165.943  7873.120  1957.540 31758.000  3460.780  2520.560  4138.140 33556.500 10855.300 11495.500
   279.705   494.950  5457.150  3108.930  2562.220  3737.750 19703.700  3206.140 20740.400  1409.960 18817.900  1455.000   794.754  1188.750   118.252  6104.120  1744.120 25036.500  2515.150  1835.670  2972.650 26741.700  7991.570  8463.220
   197.904   430.142  3740.720  2303.830  1357.450  2860.720 17368.500  1925.250 17420.800  1075.000 17043.100   841.886   519.264   816.313    93.276  3623.820   682.131 20072.900  1934.640  1379.180  2346.810 22255.800  6395.580  6258.460
PARK7     NCKAP5L   DLK1      CTSD      ETHE1     TPM1      SLC1A4    FCGRT     C2orf64   MYPN      ACP1      ZFX       GINS4     MEGF6     YWHAG     RABEP2    KLHL12    VASP      SDF2L1    UQCR10    ZNF512    CALD1     BAG3      RPS27A
 28825.600  2718.600  1318.380116649.000  3828.870  3312.070  2659.730  1374.490  1153.820  2003.610  7510.220    89.661  5348.090   557.660  7845.670  9358.690   286.794 13150.100  1636.830   452.271  3056.650   433.198 15175.300  5099.530
 21583.200  2395.110  1094.530 82594.700  2990.900  2692.910  2268.290  1065.690   977.653  1616.350  6338.110    74.716  4539.710   448.463  6400.960  7903.720   201.447 11170.700  1768.080   359.034  2511.230   359.001 12848.900  3246.120
 16713.400  1990.400   772.933 64230.700  2242.300  2022.920  1926.900   816.955   695.908  1204.090  4729.760    56.411  3557.760   341.976  4787.620  5775.420   177.411  8192.870  1458.260   259.546  1818.420   269.518  9518.970  2554.740
 12810.200  1006.300   641.332 52744.900  1763.580  1507.750   974.780   620.122   559.387   928.951  3430.430    40.502  2280.670   252.374  3629.050  4429.960   111.452  6206.020   560.892   221.854  1485.580   201.300  7152.580  2411.310
SUB1      NRK1      KIAA1383  NR2F2     CNN3      LIMD1     CNBP      OXTR      FAM122B   POMP      MRS2      ACYP2     CDC42     CHTF8     GLRX      COL7A1    MTCP1NB   TPM3      COMMD6    SNTA1     GPC1      UQCRB     PLP2      DNAJB1
  4114.700   727.822   346.479   470.634 30584.300 10956.800  3702.250   247.226  1909.380  3960.110  1126.530  2529.800  5274.820  3108.790  1135.170   237.825  3590.400 67769.000  3442.160    79.701  9722.320 15126.300  1327.080 13288.500
  3688.680   574.401   281.608   380.632 23244.700  8940.280  3374.280   201.112  1643.870  3373.260   963.275  1605.370  3043.590  2593.230  1048.130   197.522  3062.540 48035.500  2935.940    66.762  8118.740 12000.100   783.185 11644.500
  2955.530   440.499   210.136   280.828 18088.200  6815.820  2515.950   141.384  1271.990  2423.460   708.933  1438.150  2434.240  1920.780   741.595   153.916  2204.230 36788.700  2268.240    48.655  6131.720  9089.670   652.399  9312.990
  1690.510   335.315   164.059   226.625 14007.600  5048.290  1704.290   126.574   852.274  1961.890   540.878  1036.370  2546.160  1493.380   566.565   106.943  1784.000 32648.600  1556.130    39.268  4602.950  7255.330   619.630  5716.900
RANBP1    AIG1      COX19     TGFB1I1   ZFAND2B   TPM3      SKA3      BLVRB     SF1       CBX5      RBBP4     UBQLN1    TAF15     THTPA     SPC24     SLC25A20  CLU       CBS       C14orf149 LPP       LASP1     RGS10     C20orf72  SLC9A3R1
 12623.300   193.171  7383.030  6115.840  1398.110  1728.610  7844.730  6573.280   371.597  9799.490 19446.400  1881.780  7100.410  2507.870  6497.130  1862.880  1052.870  3144.580  3415.400 18650.100 19558.700  9669.990  7451.920 26532.900
  9500.010   148.165  6330.770  5074.140  1198.120  1463.300  7144.110  5551.800   317.199  8703.630 14529.900  1571.010  4614.470  2099.300  5942.560  1113.020   711.594  2630.140  2918.370 16263.700 15782.900  8196.100  6127.760 23758.200
  7294.200   119.196  5145.370  3854.380   867.311  1098.830  5137.570  4464.000   264.575  6505.700 11989.800  1146.930  4118.770  1565.740  4569.970  1022.850   566.760  1937.910  2167.760 12042.200 11838.400  6203.420  5284.660 17735.700
  6049.580    86.794  3136.210  2903.530   702.675   832.130  3940.120  2889.080   153.487  4727.780  8639.010   949.529  2994.510  1232.000  2984.210   785.344   505.431  1571.760  1686.140  9205.360  9680.960  4676.340  2985.440 12929.200
FEZ2      GPSM2     NUP62     B2M       PFN2      SENP8     ANAPC11   ACAA2     UBQLN4    PSMB9     GNG10     IL4R      PPIL3     MPST      SRSF3     CCDC41    NRK       IQSEC3    PRDX2     ATOX1     CEP112    RCL       GPSM2     SEPT6
  1979.700   323.869  8736.630  5325.170  9132.500   839.028   152.040  5033.110  9940.600  2391.720   535.107   887.078  7893.010  8521.280  3795.740   276.236  1013.130   246.854 21268.200  5623.970   972.285  2840.010   675.513 17305.300
  1565.110   255.988  7503.280  4479.680  7523.000   713.563   116.055  4139.480  8130.040  2027.990   457.591   746.306  6733.580  6538.520  2983.160   224.076   810.419   221.127 16172.400  4167.080   757.575  2273.460   661.964 14178.400
  1205.430   203.476  5494.470  3834.410  5924.560   532.606    88.380  3109.450  6238.410  1524.800   323.614   559.230  5159.350  6088.350  2186.120   170.578   646.742   163.238 13117.000  3404.580   598.742  1839.870   484.911 13235.800
   956.390   150.185  4414.200  2154.880  4256.340   416.490    75.542  2500.300  4815.280  1179.960   284.736   441.969  3811.360  3155.270  1975.450   136.749   474.214   124.460  9903.220  2618.250   465.901  1308.510   338.588  6169.820
MIF       CBLL1     BSDC1     FOXJ3     MGST1     SEMA7A    RNF126    MZT1      FAM86B2   CASP7     UTP15     TNFAIP2   C8orf42   TSR2      TMCO6     SLC25A16  MEX3A     BOLA2     NAP1L1    C3orf38   LMO4      RPL13A    TARBP2    CSPG4
  7033.920  1073.230  2865.070  2236.370  1597.190  9679.520  2549.590   291.434   218.638  3930.390  4909.400   110.552  1333.460   776.048   299.476   138.493   825.138  4853.080   265.956   100.758   210.687 20839.300  2892.070 29390.900
  5790.430   760.160  2503.060  1615.040  1468.360  8684.090  2158.080   251.341   165.561  3340.920  3959.450    81.289  1060.980   654.937   257.434   109.745   644.497  4101.710   189.476    73.774   180.408 16590.800  2490.750 24758.600
  4460.440   645.546  1855.640  1285.240  1405.370  6387.150  1677.980   195.824   132.304  2496.230  3440.640    64.783   829.824   488.064   186.439    83.921   523.332  3154.310   151.910    55.604   133.591 15567.000  1860.350 19113.200
